GroupName;Scope;Type;Location;Descriptions
M365-AAD-GroupBasedLicense-BusinessPremium;Universal;Security;OnPrem;Members get a BusinessPremium License
M365-AAD-GroupBasedLicense-BusinessStandard;Universal;Security;OnPrem;Members get a BusinessStandard License
M365-AAD-GroupBasedLicense-AADP1;Universal;Security;OnPrem;Members get a AzureADP1 License
M365-SEC-Defender-EXO-ATP-Standard;Universal;Distribution;OnPrem;Members gets Default Exchange Online Protection and Quarantine Settings
M365-SEC-Defender-EXO-ATP-Strict;Universal;Distribution;OnPrem;Members gets Strict Exchange Online Protection and Quarantine Settings
M365-AAD-CA_Exclusion_SynchronizationServiceAccounts;Universal;Security;Azure;Members are AzureAD Synchronization Accounts
M365-AAD-CA_Exclusion_EmergencyAccessAccounts;Universal;Security;Azure;Members are BreakGlassAccounts
M365-AAD-CA_Administrator;Universal;Security;OnPrem;Members are Users with any administrative role
M365-AAD-CA_Administrator_CloudOnly;Universal;Security;Azure;Cloud Only Group-Members are Users with any administrative role
M365-AAD-CA_AADP2;Universal;Security;OnPrem;Members have an Azure AD Premium P2 License and more CA Policys
M365_AAD-CA_ALL;Universal;Security;OnPrem;Members get the Baseline set of Conditional Access Ploicys
M365-AAD-CA_Exclusion_100_CLC_Temp;Universal;Security;OnPrem;Members will be excluded temporary out of conditional access policy
M365-AAD-CA_Exclusion_100_CLC_Perm;Universal;Security;OnPrem;Members will be excluded permanently  out of conditional access policy
M365-AAD-CA_Exclusion_101_CLC_Temp;Universal;Security;OnPrem;Members will be excluded temporary out of conditional access policy
M365-AAD-CA_Exclusion_101_CLC_Perm;Universal;Security;OnPrem;Members will be excluded permanently  out of conditional access policy
M365-AAD-CA_Exclusion_102_CLC_Temp;Universal;Security;OnPrem;Members will be excluded temporary out of conditional access policy
M365-AAD-CA_Exclusion_102_CLC_Perm;Universal;Security;OnPrem;Members will be excluded permanently  out of conditional access policy
M365-AAD-CA_Exclusion_104_CLC_Temp;Universal;Security;OnPrem;Members will be excluded temporary out of conditional access policy
M365-AAD-CA_Exclusion_104_CLC_Perm;Universal;Security;OnPrem;Members will be excluded permanently  out of conditional access policy
M365-AAD-CA_Exclusion_105_CLC_Temp;Universal;Security;OnPrem;Members will be excluded temporary out of conditional access policy
M365-AAD-CA_Exclusion_105_CLC_Perm;Universal;Security;OnPrem;Members will be excluded permanently  out of conditional access policy
M365-AAD-CA_Exclusion_106_CLC_Temp;Universal;Security;OnPrem;Members will be excluded temporary out of conditional access policy
M365-AAD-CA_Exclusion_106_CLC_Perm;Universal;Security;OnPrem;Members will be excluded permanently  out of conditional access policy
M365-AAD-CA_Exclusion_200_CLC_Temp;Universal;Security;OnPrem;Members will be excluded temporary out of conditional access policy
